,age,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,employment_type,salary
0,39,13,1,3,0,1,1,0,40,1,0,1
1,50,13,0,2,0,1,0,0,13,1,2,1
2,38,9,1,3,0,1,0,0,40,1,1,1
3,53,7,0,2,3,1,0,0,40,1,1,1
4,28,13,0,1,3,0,0,0,40,0,1,1
5,37,14,0,1,0,0,0,0,40,1,1,1
6,49,5,1,3,3,0,0,0,16,0,1,1
7,52,9,0,2,0,1,0,0,45,1,2,0
8,31,14,1,3,0,0,1,0,50,1,1,0
9,42,13,0,2,0,1,1,0,40,1,1,0
10,37,10,0,2,3,1,0,0,80,1,1,0
11,30,13,0,2,2,1,0,0,40,0,0,0
12,23,13,1,4,0,0,0,0,30,1,1,1
13,32,12,1,3,3,1,0,0,50,1,1,1
15,34,4,0,2,1,1,0,0,45,0,1,1
16,25,9,1,4,0,1,0,0,35,1,2,1
17,32,9,1,0,0,1,0,0,40,1,1,1
18,38,7,0,2,0,1,0,0,50,1,1,1
19,43,14,1,0,0,0,0,0,45,1,2,0
20,40,16,0,2,0,1,0,0,60,1,1,0
21,54,9,1,0,3,0,0,0,20,1,1,1
22,35,5,0,2,3,1,0,0,40,1,0,1
23,43,7,0,2,0,1,0,1,40,1,1,1
24,59,9,1,0,0,0,0,0,40,1,1,1
25,56,13,0,2,0,1,0,0,40,1,0,0
26,19,9,1,4,0,1,0,0,40,1,1,1
28,39,9,1,3,0,1,0,0,80,1,1,1
29,49,9,0,2,0,1,0,0,40,1,1,1
30,23,12,1,3,0,1,0,0,52,1,0,1
31,20,10,1,4,3,1,0,0,44,1,1,1
32,45,13,1,4,0,1,0,1,40,1,1,1
33,30,10,0,4,0,1,0,0,40,1,0,1
34,22,10,0,2,3,1,0,0,15,1,0,1
35,48,7,1,0,0,1,0,0,40,0,1,1
36,21,10,1,4,0,1,0,0,40,1,1,1
37,19,9,0,1,0,0,0,0,25,1,1,1
39,48,12,0,2,0,1,0,0,40,1,2,1
40,31,5,0,2,0,1,0,0,43,1,1,1
41,53,13,0,2,0,1,0,0,40,1,2,1
42,24,13,0,2,0,1,0,0,50,1,1,1
43,49,9,1,0,0,0,0,0,40,1,1,1
44,25,9,1,3,0,1,0,0,35,1,1,1
45,57,13,0,2,3,1,0,0,40,1,0,0
46,53,9,0,2,0,1,0,0,38,1,1,1
47,44,14,1,0,0,0,0,0,40,1,1,1
48,41,11,0,2,0,1,0,0,40,1,0,1
49,29,11,1,3,0,1,0,0,43,1,1,1
50,25,10,0,1,4,0,0,0,40,1,1,1
52,47,15,0,1,0,0,0,1,60,0,1,0
53,50,13,1,3,0,1,0,0,55,1,0,0
54,47,9,1,3,0,1,0,0,60,1,2,1
55,43,10,0,2,0,1,0,0,40,1,1,0
56,46,3,0,2,0,1,0,0,40,0,1,1
57,35,11,0,2,0,1,0,0,40,0,1,1
58,41,9,0,2,0,1,0,0,48,1,1,1
59,30,9,0,2,0,1,1,0,40,1,1,1
60,30,13,0,2,0,1,1,0,40,1,1,1
62,48,9,0,2,0,1,0,0,40,1,1,1
63,42,16,0,2,0,1,0,0,45,1,1,0
64,29,10,1,3,0,1,0,0,58,1,1,1
65,36,9,0,2,0,1,0,0,40,1,1,1
66,28,10,1,3,0,0,0,0,40,1,1,1
67,53,9,0,1,0,0,0,0,40,1,1,0
68,49,10,0,2,0,1,0,0,50,1,2,0
70,19,10,1,4,0,1,0,0,32,1,1,1
71,31,13,1,4,3,0,0,0,40,1,1,1
72,29,13,0,2,0,1,0,0,70,1,2,0
73,23,10,1,3,0,1,0,0,40,1,1,1
74,79,10,0,5,0,1,0,0,20,1,1,1
75,27,9,1,4,0,1,0,0,40,0,1,1
76,40,12,0,2,0,1,0,0,40,1,1,1
78,18,7,1,4,0,0,0,0,22,1,1,1
79,31,4,0,2,0,1,0,0,40,1,0,1
80,18,9,1,3,0,1,0,0,30,1,1,1
81,52,13,0,2,0,1,0,0,40,0,1,1
82,46,9,0,1,0,0,0,0,40,1,1,1
83,59,9,0,2,0,1,0,0,48,1,1,1
84,44,9,1,3,0,0,1,0,40,1,1,0
85,53,9,1,4,0,0,0,0,35,1,1,1
86,49,9,0,2,0,1,0,0,40,1,0,0
87,33,14,0,2,0,1,0,0,50,1,1,1
88,30,5,1,3,0,1,0,0,40,1,1,1
89,43,16,1,3,0,0,0,0,50,1,0,0
90,57,11,0,2,0,1,0,0,40,1,1,1
91,37,10,1,0,0,0,0,0,40,1,1,1
92,28,10,1,0,3,0,0,0,25,1,1,1
94,34,13,0,2,0,1,0,0,40,1,0,0
95,29,10,1,3,0,1,0,0,50,1,0,1
