제목,리뷰,평점
어벤져스: 엔드게임,와 진짜 입틀막하면서 봤다 ,10
어벤져스: 엔드게임,고냥 레전드 그 자체 꼭 보세여 ,10
어벤져스: 엔드게임,마블 역사를 집대성한 화려한 피날레! ,10
노무현과 바보들,"어벤저스와 맞짱뜨는 노짱 우리 대통령님!!지구는 어벤저스에게 맡기고 우리나라,우리 대통령님부터 챙깁시다. ",10
어벤져스: 엔드게임,안보면 후회합니다. 절대 돈 아깝다는 생각 안해요. ,10
크게 될 놈,한번씩은 울고 나오는 영화! ,10
어벤져스: 엔드게임,OO..스포안당할라고 인터넷안하고 보러갔는데 극장중딩새끼들이 대놓고 스포질해대네 .죽빵날리고 싶더라 ,1
어벤져스: 엔드게임,OO을 함께한 마블 굿바이 ,10
어벤져스: 엔드게임,너무 재미있고 슬펐습니다ㅠㅠ ,10
어벤져스: 엔드게임,역시 캡틴은 캡틴이다.ㅎ ,10
어벤져스: 엔드게임,너무재밋었어용♡꿀잼핵잼 ,10
어벤져스: 엔드게임,ㅠㅠ내인생영화 꼭보세요두번보세요 ,10
어벤져스: 엔드게임,난 그 한타장면을 보기위해 또예매했다 ,10
어벤져스: 엔드게임,정말. 저엉말 최고... ,10
어벤져스: 엔드게임,10년의 화려한 퇴장식 ,10
어벤져스: 엔드게임,"원래부터 액션영화를 즐겨보는 편이 아닌데 친구가 이건 꼭 봐야된다고 해서 보러갔지만 역시 나하고 액션영화는 안맞나보다. 어벤져스 1, 2 내용을 몰라서 그런가? 연출은 화려했지만 그게 전부였다 ",4
어벤져스: 엔드게임,어밴져스를 뛰어넘는 히어로물이 나올까 의문이네요 ㅋㅋㅋ ,10
어벤져스: 엔드게임,한번더 봐야함 완전 재밌음 ,10
극한직업,재밌었어용 오랜만에 즐거웠습니다 ,10
어벤져스: 엔드게임,실망이 큽니다... ,7
어벤져스: 엔드게임,"인피니티 사가를 멋지게 마무리한 결과물올해 최고의 영화, 어벤져스 : 엔드게임! ",10
어벤져스: 엔드게임,이제 뭐 보냐... 어벤져스 보는 맛에 살았는데 ,10
어벤져스: 엔드게임,"에휴 눈물났어요,, 보고싶을거야 아이언맨 ",10
어벤져스: 엔드게임,잼뜸카아다아마아아아ㅏㅇ ,10
어벤져스: 엔드게임,너무좋아요... 소름돋기도 하고 슬프기도하고 ㅠㅠ 꼭보세요 ,10
어벤져스: 엔드게임,뭔 토르를 그라가스로 만들어놨어요.... ,10
어벤져스: 엔드게임,11년이란 시간이 지나고 드디어 막이 내렷다 어렷을적 동심에 멋졋엇던 슈퍼 히어로들은 20살이된 지금 나에게 어렷을적 가슴떨림을 느끼게 햇다 마블영화 라면 항상 빠지지않고 봣던 나에거 이번영화는 11년을 되돌아보는 행복한 타임머신 같앗다 ,10
어벤져스: 엔드게임,어린시절을 재밌게 해준 어벤져스 안녕 ,10
어벤져스: 엔드게임,재밌어요 ㅠㅠ 다시는 이런 히어로물은 안나올거 같네요 ,10
어벤져스: 엔드게임,진짜 재미있었어요. 하지만 마지막이라 더 아쉬워요  ㅠ ,10
어벤져스: 엔드게임,최고~ 사랑하고 감사해요 어벤져스 굿바이 ,10
미성년,죄 짓고는 못 살지. 그 고딩들한테 맞아 죽었어도 할말 없지. ,8
어벤져스: 엔드게임,큰기대안하고보면 평타이상 큰기대하고보면 살짝아쉬움 ,8
어벤져스: 엔드게임,정말 그냥 보세요... 마블 한편이라도 본 사람은 꼭 보세요... 3시간 그냥 순삭당하고 훅 지나갑니다 영화 끝나고 나서 영화가 더 길었으면 좋았겠다고 생각할 만큼이에요.. 정말 감동적이고 멋있고 그냥 말로 표현할 수가 없습니다.. 마블 사랑해요 ,10
어벤져스: 엔드게임,넘나 잼난것  두번보세요 ,10
어벤져스: 엔드게임,멋지고 슬프다..젊은시절을 함께보내왔던 토니스타크 ,10
어벤져스: 엔드게임,어벤져스 엔드게임 역시는 역시다 ,10
어벤져스: 엔드게임,스포 당해도 꼭 봐야하는 영화 진짜 소름 돋고 인피니티워 토르 등장씬 저리가라 하는 장면들도 많으니 꼭 보세요! ,10
어벤져스: 엔드게임,역대급 마블 영화 최고였음 ,10
어벤져스: 엔드게임,"우리나라 영화는 맨날천날 좌파 정치색 영화, 살인, 조폭 영화등만 만들지만 미국은?? 그리고 대한민국이 유치한 CG 부터 개선하기 바람 ",10
어벤져스: 엔드게임,완전 드라마.정말 지루하고 재미없음 ,1
어벤져스: 엔드게임,3시간이 지겨울꺼라 생각했는데아쉬웠습니다 ,10
어벤져스: 엔드게임,마블은 사랑임니다! 3000+3000+3000= 무제한 사랑임니다! 이영화로 끝이라니..아쉽.. 더나와라!!! 새로운 2세대가..나왓음 좋것다!! ,10
어벤져스: 엔드게임,그냥 최고의 마블영화 너무슬프고 감격스럽네요 무조건 3번은봐야하는 영화 ,10
어벤져스: 엔드게임,그냥 최고였어요 ㅠㅠㅠ ,10
어벤져스: 엔드게임,I am ironman ,10
어벤져스: 엔드게임,마지막이자 새로운 시작을 위해 만들어진 훌륭한 작품. ,10
인비저블 게스트,몰입 구성  정말 최고 간만에 정말 짜릿한 영화 ,9
어벤져스: 엔드게임,재밌고 감동적이뮤ㅠ 또 보고 싶아 ,10
어벤져스: 엔드게임,말이 필요없다 레.전.드 그자체 ,10
어벤져스: 엔드게임,세시간이 후딱이네요~~  ♡어벤져스 엔드게임 3000만큼 사랑합니다♡  빠른 전개로 몰입도 최고 입니다   꼭 보세요 ,10
어벤져스: 엔드게임,끝나고 치즈버거 먹어야되는 영화ㅠㅠ ,10
에이리언: 커버넌트,어떻해 저란 사람들이 개척민 우주 탐사선 대원이 되었는지 미스터리 ..혼자 생쑈하다 뒈져버린거 하나는 마음에 드는데우주선도 날려버리는 클라스.... ,8
주유소 습격사건,진심 박영규 나오는작품은 죄다 웃기냐ㅋㅋㅋ ,10
어벤져스: 엔드게임,짧게 남김인피니티 워가 더 재미남엔드게임 이 재미없다는게 아니고인피니티 워가 진짜 명작이였음 ,8
어벤져스: 엔드게임,결국 주인공이 죽으면서 이 길고 흥미진진했던 이야기가 끝나버렸다니 ㅜ ,10
어벤져스: 엔드게임,I'm iron man ,10
어벤져스: 엔드게임,역시 어벤져스.. 눈물 콧물 다 흘리고 나왔습니다 ,10
어벤져스: 엔드게임,졸업식이 끝난느낌비어가는 교실 보면서 쓸쓸하고 시원했고 짠하고 행복했음 ,10
어벤져스: 엔드게임,넘잼떠효ㅜㅜㅡ열번봐야디 ,10
어벤져스: 엔드게임,미쳤음. 이제 뭐봐야되나 하... ,10
어벤져스: 엔드게임,3시간  시간가는지 몰랐네 ,10
어벤져스: 엔드게임,역시 믿고보는 어벤져스.. ,10
어벤져스: 엔드게임,어벤져스1만큼 재밌었다 ,10
극한직업,ㅎㅎ 너무  웃겼어요 집에서 혼자봐도 이렇게 웃긴데 극장에서 여럿이 봤으면 더 웃었겠어요. ,10
어벤져스: 엔드게임,"보다가 네번 울었습니다. 멋짐, 재미, 감동 다 있어요 말로 설명 못할  벅찬 감정... ",10
어벤져스: 엔드게임,치즈버거가 땡기는 영화 ,10
어벤져스: 엔드게임,진짜 구라안치고 잠깐 심장이 멈췄었던것도 같음 ,10
어벤져스: 엔드게임,데이즈 오브 퓨쳐패스트 2 ,10
어벤져스: 엔드게임,군대가기전에 보고가서 천만다행 ,10
돈,배우들 연기력은 훌륭했지만 스토리가 애매하고 찝찝한 기분 ,6
어벤져스: 엔드게임,내 인생의 영화는 어벤져스:엔드게임 전과후로 나뉜다 ,10
어벤져스: 엔드게임,3시간은 너무 지루해여 ,8
어벤져스: 엔드게임,잘봤습니다. 즐거웠음 ,10
어벤져스: 엔드게임,어벤져스 앤드게임긴 시간동안 고대하며 기다린 만큼어벤져스 시리즈의 마지막이라서 그런지스토리와 액션장면까지 짜임새가 돋보이며죽었던 이들이 모두가 살아나서 마지막 대반격장면과각자 그리워했던 사람들과 해후하는 장면도뭉클하기까지 하더군요.^.~ ,10
어벤져스: 엔드게임,진짜 엔드게임이구나.... ,10
에이리언: 커버넌트,역대 에이리언 시리즈랑 분위기가 다름 ,10
어벤져스: 엔드게임,어벤져스의 마지막.. 너무. 아쉬워요 ㅠㅠ너무 재밌었고 더 이어졌으면 하는 바람만... ,10
어벤져스: 엔드게임,정말 마지막인가요ㅜㅠ ,10
어벤져스: 엔드게임,최고의영화입니다 꼭보세요 ,10
어벤져스: 엔드게임,보고 울꺽했음 감동과 재미 ㅠㅠ ,10
어벤져스: 엔드게임,미쳣다 미쳣어 그냥지림;; ,10
어벤져스: 엔드게임,이제 캐릭터 죽었다고 안본다고 협박할수도 없는... ,10
어벤져스: 엔드게임,이건 미쳤음 진짜 봐야하는 영화 ,10
서유기 2 - 선리기연,세월이 지나서 다시봐도 눈물나는 명작 ,10
어벤져스: 엔드게임,Avengers Assemble ,10
어벤져스: 엔드게임,한마디로 진짜 미쳣다. ,10
어벤져스: 엔드게임,나는 아이언맨이다!! ,10
어벤져스: 엔드게임,굿구우우우은으우읏웃 ,10
어벤져스: 엔드게임,조흔 결말이었습니다... ,10
어벤져스: 엔드게임,미쳤다 어느 한 장면이 소름이라고 콕 집어 말할 수 없을만큼 모든 장면이 소름이 돋았던 영화. ,10
어벤져스: 엔드게임,최고다 최고 어벤져스 최고 ,10
어벤져스: 엔드게임,쥐 한마리가 세상을 구한 영화 ,10
어벤져스: 엔드게임,지금까지의 마블영화는 모두 이 영화를 만들기 위한 거였나... 이영화에 얼마나 공을 들였는지 보인다 ! 3000만큼 사랑한다 ,10
마약왕,교훈 약빨지말자!!!! ,5
어벤져스: 엔드게임,갈무리를 완벽하게 했다. 히어로 영화 보고 울었따.. ,10
어벤져스: 엔드게임,앞에좀 자르고 뒤에좀 늘리지 ,9
어벤져스: 엔드게임,보기 전과 후 화장실을 꼭 가야되는 영화.. ,10
어벤져스: 엔드게임,최고의 마무리 .. 영화 잘 만들었다..최고 ,10
어벤져스: 엔드게임,와 진짜 내가 본 영화중 역대급이다 마블중이 아니고...3시간이 30분으러 컷당함...진심 너무 재밌음 ,10
어벤져스: 엔드게임,나는..나는..아이언맨이다... ,10
어벤져스: 엔드게임,마블 모두 히어로 모두 3000만큼 사랑합니다 ,10
요로나의 저주,코미디 요소도 좋긴 하지만 끝맺음도 그렇고 장난 하니 ,7
